date,cash,stock_value,total_value
2025-11-03 11:00:00,71.74999999999932,10786.0657,10857.8157
2025-11-03 12:00:00,71.74999999999932,10794.468599999998,10866.218599999998
2025-11-03 13:00:00,71.74999999999932,10767.8317,10839.5817
2025-11-03 14:00:00,71.74999999999932,10743.827800000001,10815.577800000001
2025-11-03 15:00:00,71.74999999999932,10737.314999999999,10809.064999999999
2025-11-04 10:00:00,71.74999999999932,10590.493,10662.243
2025-11-04 11:00:00,71.74999999999932,10568.808299999997,10640.558299999997
2025-11-04 12:00:00,71.74999999999932,10518.6262,10590.3762
2025-11-04 13:00:00,71.74999999999932,10508.145,10579.895
2025-11-04 14:00:00,71.74999999999932,10476.205,10547.955
2025-11-04 15:00:00,71.74999999999932,10446.060000000001,10517.810000000001
2025-11-05 10:00:00,71.74999999999932,10581.0011,10652.7511
2025-11-05 11:00:00,71.74999999999932,10569.45,10641.2
2025-11-05 12:00:00,71.74999999999932,10610.985,10682.735
2025-11-05 13:00:00,71.74999999999932,10673.506800000001,10745.256800000001
2025-11-05 14:00:00,71.74999999999932,10650.8513,10722.6013
2025-11-05 15:00:00,71.74999999999932,10507.240000000002,10578.990000000002
2025-11-06 10:00:00,71.74999999999932,10160.7917,10232.5417
2025-11-06 11:00:00,71.74999999999932,10159.699,10231.449
2025-11-06 12:00:00,71.74999999999932,10219.4842,10291.2342
2025-11-06 13:00:00,71.74999999999932,10234.604,10306.354
2025-11-06 14:00:00,71.74999999999932,10301.0644,10372.8144
2025-11-06 15:00:00,71.74999999999932,10163.330000000002,10235.080000000002
2025-11-07 10:00:00,71.74999999999932,9818.563900000001,9890.313900000001
2025-11-07 11:00:00,71.74999999999932,9776.7298,9848.4798
2025-11-07 12:00:00,71.74999999999932,9863.4142,9935.1642
2025-11-07 13:00:00,71.74999999999932,9925.380000000001,9997.130000000001
2025-11-07 14:00:00,71.74999999999932,10025.4395,10097.1895
2025-11-07 15:00:00,71.74999999999932,10084.64,10156.39
